id;d;dy;date;proklad;tg;tn;t2;t1_1;t1_2;t1_3;t1_4;qp_1;qo_1;qp_2;qo_2;qp_3;qo_3;qp_4;qo_4;qp_1gt5000;qo_1gt5000;qp_2gt5000;qo_2gt5000;qp_3gt5000;qo_3gt5000;qp_4gt5000;qo_4gt5000;mode
1;18;0;1;К;5;5;50;65;90;110;110;22;17;28;17;33;17;33;17;22;17;28;17;33;17;33;17;NULL
2;25;0;1;К;5;5;50;65;90;110;110;24;18;30;18;35;18;35;18;24;18;30;18;35;18;35;18;NULL
3;32;0;1;К;5;5;50;65;90;110;110;25;20;32;20;38;20;38;20;25;20;32;20;38;20;38;20;NULL
4;38;0;1;К;5;5;50;65;90;110;110;26;21;34;21;40;21;40;21;26;21;34;21;40;21;40;21;NULL
5;45;0;1;К;5;5;50;65;90;110;110;28;22;36;22;42;22;42;22;28;22;36;22;42;22;42;22;NULL
6;57;0;1;К;5;5;50;65;90;110;110;31;25;40;25;47;25;47;25;31;25;40;25;47;25;47;25;NULL
7;76;0;1;К;5;5;50;65;90;110;110;35;29;45;29;53;29;53;29;35;29;45;29;53;29;53;29;NULL
8;89;0;1;К;5;5;50;65;90;110;110;38;31;49;31;57;31;57;31;38;31;49;31;57;31;57;31;NULL
9;108;0;1;К;5;5;50;65;90;110;110;42;34;54;34;62;34;62;34;42;34;54;34;62;34;62;34;NULL
10;133;0;1;К;5;5;50;65;90;110;110;45;36;59;36;68;36;68;36;45;36;59;36;68;36;68;36;NULL
11;159;0;1;К;5;5;50;65;90;110;110;52;42;65;42;75;42;75;42;52;42;65;42;75;42;75;42;NULL
12;194;0;1;К;5;5;50;65;90;110;110;56;45;74;45;83;45;83;45;56;45;74;45;83;45;83;45;NULL
13;219;0;1;К;5;5;50;65;90;110;110;62;51;79;51;91;51;91;51;62;51;79;51;91;51;91;51;NULL
14;273;0;1;К;5;5;50;65;90;110;110;72;60;90;60;103;60;103;60;72;60;90;60;103;60;103;60;NULL
15;325;0;1;К;5;5;50;65;90;110;110;81;68;100;68;115;68;115;68;81;68;100;68;115;68;115;68;NULL
16;377;0;1;К;5;5;50;65;90;110;110;88;76;107;76;126;76;126;76;90;76;107;76;126;76;126;76;NULL
17;426;0;1;К;5;5;50;65;90;110;110;98;82;121;82;137;82;137;82;99;82;121;82;137;82;137;82;NULL
18;480;0;1;К;5;5;50;65;90;110;110;107;91;132;91;150;91;150;91;110;91;132;91;150;91;150;91;NULL
19;530;0;1;К;5;5;50;65;90;110;110;115;101;142;101;160;101;160;101;120;101;142;101;160;101;160;101;NULL
20;630;0;1;К;5;5;50;65;90;110;110;132;114;163;114;184;114;184;114;138;114;163;114;184;114;184;114;NULL
21;720;0;1;К;5;5;50;65;90;110;110;147;125;181;125;202;125;202;125;155;125;181;125;202;125;202;125;NULL
22;820;0;1;К;5;5;50;65;90;110;110;163;141;200;141;223;141;223;141;174;141;200;141;223;141;223;141;NULL
23;920;0;1;К;5;5;50;65;90;110;110;178;155;218;155;224;155;224;155;193;155;218;155;224;155;224;155;NULL
24;1020;0;1;К;5;5;50;65;90;110;110;196;170;240;170;266;170;266;170;212;170;240;170;266;170;266;170;NULL
25;1220;0;1;К;5;5;50;65;90;110;110;229;200;282;200;308;200;308;200;229;200;282;200;308;200;308;200;NULL
26;1420;0;1;К;5;5;50;65;90;110;110;260;228;326;228;352;228;352;228;260;228;326;228;352;228;352;228;NULL
27;18;0;1;Б;5;5;50;65;90;110;110;22;17;28;17;33;17;33;17;22;17;28;17;33;17;33;17;NULL
28;25;0;1;Б;5;5;50;65;90;110;110;24;18;30;18;35;18;35;18;24;18;30;18;35;18;35;18;NULL
29;0;15;4;Н;50;50;50;50;100;150;150;9;NULL;15;NULL;24;NULL;24;NULL;8;NULL;15;NULL;21;NULL;21;NULL;NULL
30;0;20;4;Н;50;50;50;50;100;150;150;9;NULL;18;NULL;27;NULL;27;NULL;9;NULL;16;NULL;24;NULL;24;NULL;NULL
31;0;25;4;Н;50;50;50;50;100;150;150;10;NULL;20;NULL;29;NULL;29;NULL;9;NULL;17;NULL;27;NULL;27;NULL;NULL
32;0;40;4;Н;50;50;50;50;100;150;150;12;NULL;22;NULL;34;NULL;34;NULL;10;NULL;20;NULL;30;NULL;30;NULL;NULL
33;0;50;4;Н;50;50;50;50;100;150;150;14;NULL;25;NULL;37;NULL;37;NULL;12;NULL;22;NULL;33;NULL;33;NULL;NULL
34;0;65;4;Н;50;50;50;50;100;150;150;15;NULL;28;NULL;41;NULL;41;NULL;14;NULL;25;NULL;37;NULL;37;NULL;NULL
35;0;80;4;Н;50;50;50;50;100;150;150;17;NULL;31;NULL;45;NULL;45;NULL;15;NULL;27;NULL;40;NULL;40;NULL;NULL
36;0;100;4;Н;50;50;50;50;100;150;150;19;NULL;34;NULL;49;NULL;49;NULL;16;NULL;29;NULL;43;NULL;43;NULL;NULL
37;0;125;4;Н;50;50;50;50;100;150;150;22;NULL;38;NULL;54;NULL;54;NULL;18;NULL;33;NULL;47;NULL;47;NULL;NULL
38;0;150;4;Н;50;50;50;50;100;150;150;23;NULL;41;NULL;60;NULL;60;NULL;20;NULL;36;NULL;52;NULL;52;NULL;NULL
39;0;200;4;Н;50;50;50;50;100;150;150;29;NULL;51;NULL;71;NULL;71;NULL;24;NULL;43;NULL;62;NULL;62;NULL;NULL
40;0;250;4;Н;50;50;50;50;100;150;150;34;NULL;58;NULL;82;NULL;82;NULL;28;NULL;49;NULL;71;NULL;71;NULL;NULL
41;0;300;4;Н;50;50;50;50;100;150;150;38;NULL;65;NULL;91;NULL;91;NULL;34;NULL;58;NULL;82;NULL;82;NULL;NULL
42;0;350;4;Н;50;50;50;50;100;150;150;46;NULL;79;NULL;110;NULL;110;NULL;39;NULL;66;NULL;93;NULL;93;NULL;NULL
43;0;400;4;Н;50;50;50;50;100;150;150;52;NULL;86;NULL;120;NULL;120;NULL;42;NULL;72;NULL;101;NULL;101;NULL;NULL
44;0;25;3;Б;50;50;50;65;90;110;110;13;9;19;9;22;8;22;8;12;8;17;8;21;7;21;7;NULL
45;0;30;3;Б;50;50;50;65;90;110;110;14;9;20;9;24;9;24;9;13;9;17;9;22;8;22;8;NULL
46;0;40;3;Б;50;50;50;65;90;110;110;16;10;22;10;27;9;27;9;14;9;19;9;23;9;23;9;NULL
47;0;50;3;Б;50;50;50;65;90;110;110;16;11;24;11;29;10;29;10;15;10;21;10;26;9;26;9;NULL
48;0;65;3;Б;50;50;50;65;90;110;110;20;14;28;12;34;11;34;11;17;11;25;11;29;10;29;10;NULL
49;0;80;3;Б;50;50;50;65;90;110;110;22;15;30;13;37;12;37;12;18;12;27;12;32;11;32;11;NULL
50;0;100;3;Б;50;50;50;65;90;110;110;24;16;34;14;41;14;41;14;21;14;30;13;35;12;35;12;NULL
51;0;125;3;Б;50;50;50;65;90;110;110;25;17;36;15;45;15;45;15;22;16;33;14;37;13;37;13;NULL
52;0;150;3;Б;50;50;50;65;90;110;110;28;19;40;16;47;16;47;16;23;16;36;15;41;14;41;14;NULL
53;0;200;3;Б;50;50;50;65;90;110;110;35;22;47;19;61;17;61;17;28;20;42;16;50;16;50;16;NULL
54;0;250;3;Б;50;50;50;65;90;110;110;40;26;56;22;68;18;68;18;33;22;47;18;57;17;57;17;NULL
55;0;300;3;Б;50;50;50;65;90;110;110;46;29;64;23;76;21;76;21;37;24;52;21;61;18;61;18;NULL
56;0;350;3;Б;50;50;50;65;90;110;110;50;32;68;25;84;22;84;22;40;27;55;22;69;19;69;19;NULL
57;0;400;3;Б;50;50;50;65;90;110;110;56;34;75;28;91;22;91;22;43;28;60;24;74;21;74;21;NULL
58;0;450;3;Б;50;50;50;65;90;110;110;60;36;82;28;99;23;99;23;47;31;68;27;78;22;78;22;NULL
59;0;500;3;Б;50;50;50;65;90;110;110;65;40;92;31;112;24;112;24;50;32;72;28;86;23;86;23;NULL
60;0;600;3;Б;50;50;50;65;90;110;110;72;42;103;33;125;26;125;26;58;36;80;30;97;27;97;27;NULL
