"Байпас","bypass"
"Диафрагма","diaphragms"
"Элеватор","elevators"
"Источник тепла","heatSources"
"Калориферная установка","airHeaters"
"Клапан трехходовой","threeWayValves"
"Насосный агрегат","pumps"
"Насосная станция","pumpStations"
"Обратный клапан","reverseValves"
"Потребитель обобщенный","generalizedConsumers"
"Потребитель реальный","realConsumers"
"Радиаторы системы отопления","systemRadiators"
"Регулятор давления","pressRegulators"
"Регулятор расхода","consumptRegulators"
"Регулятор перепада давления","pressDropRegulators"
"Регулирующая арматура","regulArmatures"
"Теплообменник","heatExchangers"
"Участок теплопровода","heatPipeSections"
"Задвижка","dampers"
"ОбщееЛинейныеОбъекты","linesObj"
"ОбщееТочечныеОбъекты","nodes"
"Адрес","addresses"
"Павильон","pavilions"
"ТРП","trps"
"Тепловая камера","heatChambers"
"Подземный узел","undergroundNodes"
"Надземный узел","overgroundNodes"
"Ввод в здание","buildingEntries"
"Неустановленный узел","uninstalledNodes"
"Насосная станция2","pumpStations"
"Источник тепла2","heatSources"
"Узел","NULL"
"Узел присоединения","NULL"
"NC_Насос стандартный","standardPumps"
"DC_Регуляторы давления стандартные","standardPressRegulators"
"DC_Регуляторы давления стандартные","standardPressRegulators"
"SM_Местные гидравлические сопротивления","localHydroResistances"
"DC_Регуляторы давления стандартные","standardPressRegulators"
"EV_Элеватор стандартный","standardElevators"
"KC_Компесаторы стандартные","standardCompensators"
"KL_Калориферы стандартные","standardAirHeaters"
"KO_Клапан обратный стандартный","standardReverseValves"
"MN_Манометр стандартный","standardManometers"
"PL_Теплообменники пластинчатые стандартные","standardPlateHeatExchangers"
"PT_Регулятор температуры стандартные","standardTempRegulators"
"RC_Регуляторы расхода стандартные","standardConsRegulators"
"RD_Расходомер стандартный","standardFlowmeters"
"RP_Регулятор перепада стандартные","standardPressDropRegulators"
"TB_Теплообменники трубчатые стандартные","standardTubHeatExchangers"
"TO_Термометр стандартный","standardThermometers"
"TP_Трубы стандартные","standardTubes"
"V3_Клапан трехходовой стандартный","standardThreeWayValves"
"ZC_Задвижки стандартные","standardDampers"
"Водоразборный прибор","WDOdevices"
"Узел с заданным напором","setPressNodes"
"Узел подпитки","refillNodes"
"Удельные расходы","specExpends"
"Расчетные температуры","calcTemperatures"
"График нагрузки ГВС","gvsLoadGraphs"
"Коэффициенты вариации","varCoefficients"
"Расчетная схема","calcSchemes"
"Система теплоснабжения","heatSystem"
"DR_OUT","throttlesOUT"
"ANY_OUT","linesOUT"
"OK_OUT","reverseValvesOUT"
"BP_OUT","bypassOUT"
"IST_OUT","heatSourcesOUT"
"NS_OUT","pumpsOUT"
"US_OUT","nodesOUT"
"UT_OUT","heatPipeSectionsOUT"
"RS_OUT","commonRegulatorsOUT"
"ZD_OUT","dampersOUT"
"NST_OUT","pumpStationsOUT"
"PT_OUT","commonConsumersOUT"
"ZD2_OUT","regulArmaturesOUT"
"RPP_OUT","pressDropRegulatorsOUT"
"TEPLO_OUT","calcSchemeheatLosesOUT"
"DRO_OUT","diaphragmsOUT"
"ITOG_OUT","totalsOUT"
"ITOG2_OUT","calcSchemesOUT"
"UT_KTP_OUT","heatLosesOUT"
"UT_TEPLO_OUT","sectionHeatLosesOUT"
"TEPLO_t_OUT","TEPLO_t_OUT"
"Организации владельцы","organizations"
"EL_Электродвигатель стандартный","standardEMs"
"07_Теплоизоляционный материал","isolMaterials"
"GO_Месячный график работы источника","hSourceWorkMonthGraphs"
"GT_Месячные температуры воздуха и грунта","airGroundMonthTemperatures"
"TG_Развернутый температурный график","deployedTempGraphs"
"TK_График температур качественного регулирования","qualityRegTempGraphs"
"TN_График нормативных температур","normTemperaturesGraphs"
"Индикатор_коррозии","corrosionIndicators"
"Паспорт объекта теплоснабжения","passports"
"Организации обслуживающие","serviceOrganizations"
"Паспорт объекта теплоснабжения документы","passportsDocs"
"Магистрали","magistrals"
"Местные сопротивления участка трубопровода","localHydroResistances2"
"Текст","texts"
