id;kod_izol;name;l;k
1;1;Асбестовый матрац, заполненный совелитом;0,087;0,00012
2;2;Асбестовый матрац, заполненный стекловолокном;0,058;0,00023
3;3;Асботкань в несколько слоев;0,13;0,00026
4;4;Асбестовый шнур;0,12;0,00031
5;5;Асбестовый шнур (ШАОН);0,13;0,00026
6;6;Асбопухшнур (ШАП);0,093;0,0002
7;7;Асбовермикулитовые изделия марки 250;0,081;0,00023
8;8;Асбовермикулитовые изделия марки 300;0,087;0,00023
9;9;Битумоперлит;0,12;0,00023
10;10;Битумокерамзит;0,13;0,00023
11;11;Битумовермикулит;0,13;0,00023
12;12;Вулканитовые плиты марки 300;0,074;0,00015
13;13;Диатомовые изделия марки 500;0,116;0,00023
14;14;Диатомовые изделия марки 600;0,14;0,00023
15;15;Известково-кремнеземные изделия марки 200;0,069;0,00015
16;16;Маты минераловатные прошивные марки 100;0,045;0,0002
17;17;Маты минераловатные прошивные марки 125;0,049;0,0002
18;18;Маты из минеральной ваты марки 75;0,043;0,00022
19;19;Маты из непрерывного стекловолокна;0,04;0,00026
20;20;Маты стекловатные марки 50;0,042;0,00028
21;21;Пенобетонные изделия;0,11;0,0003
22;22;Пенопласт ФРП-1 группы 100;0,043;0,00019
23;23;Пенополимербетон;0,07;0
24;24;Пенополиуретан;0,05;0
25;25;Перлитоцементные изделия марки 300;0,076;0,000185
26;26;Перлитоцементные изделия марки 350;0,081;0,000185
27;27;Плиты из минеральной ваты марки 75;0,043;0,00022
28;28;Плиты стекловатные марки 50;0,042;0,00028
29;29;Плиты минераловатные полужесткие марки 100;0,044;0,00021
30;30;Плиты минераловатные полужесткие марки 125;0,047;0,000185
31;31;Плиты минераловатные марки 250;0,056;0,000185
32;32;Плиты стекловатные полужесткие марки 75;0,044;0,00023
33;33;Полуцилиндры минераловатные марки 150;0,049;0,0002
34;34;Полуцилиндры минераловатные марки 200;0,052;0,000185
35;35;Полосы из непрерывного стекловолокна;0,04;0,00026
36;36;Совелитовые изделия марки 350;0,076;0,000185
37;37;Совелитовые изделия марки 400;0,078;0,000185
38;38;Скорлупы минераловатные оштукатуренные;0,069;0,00019
39;39;Фенольный поропласт ФЛ монолит;0,05;0
40;40;Шнур минераловатный марки 200;0,056;0,000185
41;41;Шнур минераловатный марки 250;0,058;0,000185
42;42;Шнур минераловатный марки 300;0,061;0,000185
43;43;Цилиндры минераловатные марки 250;0,056;0,000185
44;44;Цилиндры минераловатные марки 150;0,049;0,0002
45;45;Цилиндры минераловатные марки 200;0,052;0,000185
46;46;Термокраска;0;0
47;47;Стекловата фольгированная;0;0
48;48;Маты минераловатные;0;0
49;49;Минплита;0;0
